company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1437352,1437352_10K_2020_0001564590-21-009422.json,item_1A,Negative,-0.43,1.0,228,0.06,0.56
1437491,1437491_10K_2021_0001213900-21-034916.json,item_7,Neutral,-0.05,1.0,64,0.06,0.09
1437491,1437491_10K_2021_0001213900-21-034916.json,item_1A,Negative,-0.47,1.0,134,0.04,0.6
1441683,1441683_10K_2020_0001441683-21-000018.json,item_7,Neutral,-0.03,1.0,117,0.18,0.22
1441683,1441683_10K_2020_0001441683-21-000018.json,item_1A,Negative,-0.45,1.0,171,0.03,0.56
1441816,1441816_10K_2021_0001441816-21-000051.json,item_7,Positive,0.11,1.0,84,0.27,0.13
1441816,1441816_10K_2021_0001441816-21-000051.json,item_1A,Negative,-0.37,1.0,254,0.06,0.52
1445305,1445305_10K_2020_0001445305-21-000035.json,item_7,Positive,0.06,1.0,67,0.25,0.16
1445305,1445305_10K_2020_0001445305-21-000035.json,item_1A,Negative,-0.46,1.0,122,0.04,0.6
1447669,1447669_10K_2020_0001447669-21-000070.json,item_7,Positive,0.08,1.0,110,0.23,0.17
1447669,1447669_10K_2020_0001447669-21-000070.json,item_1A,Negative,-0.39,1.0,291,0.04,0.52
1448056,1448056_10K_2021_0001448056-21-000025.json,item_7,Neutral,0.01,1.0,115,0.22,0.21
1448056,1448056_10K_2021_0001448056-21-000025.json,item_1A,Negative,-0.43,1.0,198,0.04,0.56
1459200,1459200_10K_2020_0001459200-21-000012.json,item_7,Neutral,-0.03,1.0,153,0.12,0.15
1459200,1459200_10K_2020_0001459200-21-000012.json,item_1A,Negative,-0.45,1.0,255,0.04,0.58
1459417,1459417_10K_2020_0001459417-21-000003.json,item_7,Neutral,0.0,1.0,99,0.12,0.15
1459417,1459417_10K_2020_0001459417-21-000003.json,item_1A,Negative,-0.38,1.0,213,0.05,0.51
1463172,1463172_10K_2020_0001463172-21-000054.json,item_7,Positive,0.12,1.0,100,0.28,0.14
1463172,1463172_10K_2020_0001463172-21-000054.json,item_1A,Negative,-0.42,1.0,232,0.06,0.56
1467623,1467623_10K_2020_0001467623-21-000012.json,item_7,Neutral,-0.01,1.0,104,0.15,0.18
1467623,1467623_10K_2020_0001467623-21-000012.json,item_1A,Negative,-0.44,1.0,208,0.04,0.57
1467761,1467761_10K_2020_0001654954-21-004133.json,item_7,Negative,-0.14,1.0,43,0.16,0.33
1467761,1467761_10K_2020_0001654954-21-004133.json,item_1A,Negative,-0.62,1.0,70,0.01,0.74
1468666,1468666_10K_2021_0001468666-21-000012.json,item_7,Neutral,0.02,1.0,108,0.14,0.11
1468666,1468666_10K_2021_0001468666-21-000012.json,item_1A,Negative,-0.45,1.0,101,0.03,0.57
1477333,1477333_10K_2020_0001477333-21-000009.json,item_7,Positive,0.1,1.0,132,0.3,0.19
1477333,1477333_10K_2020_0001477333-21-000009.json,item_1A,Negative,-0.43,1.0,337,0.04,0.58
1477720,1477720_10K_2021_0001477720-21-000007.json,item_7,Positive,0.07,1.0,98,0.24,0.17
1477720,1477720_10K_2021_0001477720-21-000007.json,item_1A,Negative,-0.36,1.0,213,0.06,0.49
1505155,1505155_10K_2020_0001505155-21-000011.json,item_7,Negative,-0.09,1.0,106,0.14,0.25
1505155,1505155_10K_2020_0001505155-21-000011.json,item_1A,Negative,-0.5,1.0,157,0.01,0.62
1505952,1505952_10K_2021_0001505952-21-000007.json,item_7,Neutral,-0.03,1.0,91,0.14,0.2
1505952,1505952_10K_2021_0001505952-21-000007.json,item_1A,Negative,-0.44,1.0,239,0.04,0.58
1506439,1506439_10K_2020_0001654954-21-003521.json,item_7,Negative,-0.07,1.0,37,0.27,0.35
1506439,1506439_10K_2020_0001654954-21-003521.json,item_1A,Negative,-0.55,1.0,142,0.0,0.68
1517375,1517375_10K_2020_0001517375-21-000009.json,item_7,Positive,0.06,1.0,124,0.26,0.18
1517375,1517375_10K_2020_0001517375-21-000009.json,item_1A,Negative,-0.39,1.0,179,0.05,0.53
1517413,1517413_10K_2020_0001517413-21-000030.json,item_7,Neutral,0.03,1.0,150,0.24,0.19
1517413,1517413_10K_2020_0001517413-21-000030.json,item_1A,Negative,-0.43,1.0,258,0.06,0.57
1528396,1528396_10K_2021_0001528396-21-000095.json,item_7,Negative,-0.07,1.0,101,0.2,0.26
1528396,1528396_10K_2021_0001528396-21-000095.json,item_1A,Negative,-0.41,1.0,209,0.03,0.51
1535379,1535379_10K_2021_0001628280-21-005632.json,item_7,Negative,-0.14,1.0,68,0.09,0.24
1535379,1535379_10K_2021_0001628280-21-005632.json,item_1A,Negative,-0.48,1.0,115,0.01,0.57
1535527,1535527_10K_2021_0001535527-21-000007.json,item_7,Positive,0.11,1.0,180,0.24,0.12
1535527,1535527_10K_2021_0001535527-21-000007.json,item_1A,Negative,-0.44,1.0,253,0.04,0.59
